projection_1	angle_1	projection_2	angle_2	score
15	330	1	10	44.33516228357629
1	85	16	125	79.0681675519983
16	125	1	85	79.0681675519983
1	130	17	315	20.434067111169238
17	315	1	130	20.434067111169238
1	220	18	315	35.760101487327525
18	315	1	220	35.760101487327525
1	180	19	180	27.494673066691885
19	180	1	180	27.494673066691885
1	40	20	140	112.73465282454615
20	140	1	40	112.73465282454615
1	215	21	65	97.0192400832646
21	65	1	215	97.0192400832646
1	20	22	315	66.35826574267598
22	315	1	20	66.35826574267598
1	40	23	285	41.802885639792194
23	285	1	40	41.802885639792194
1	50	24	170	73.90997090497874
24	170	1	50	73.90997090497874
1	55	25	40	96.28144077918087
25	40	1	55	96.28144077918087
1	75	26	295	29.509852422410177
26	295	1	75	29.509852422410177
1	60	27	40	35.25192900444829
27	40	1	60	35.25192900444829
1	235	28	285	102.35547993741342
28	285	1	235	102.35547993741342
1	235	29	180	76.34730830660108
29	180	1	235	76.34730830660108
1	230	30	290	79.15976704656512
30	290	1	230	79.15976704656512
1	340	31	165	18.767831868843043
31	165	1	340	18.767831868843043
1	50	32	105	66.91679156206168
32	105	1	50	66.91679156206168
1	40	33	80	89.36428888442713
33	80	1	40	89.36428888442713
1	45	34	230	21.163430166796335
34	230	1	45	21.163430166796335
1	215	35	5	38.1921259377076
35	5	1	215	38.1921259377076
1	230	36	325	40.694687371025
36	325	1	230	40.694687371025
1	55	37	35	63.77821432896246
37	35	1	55	63.77821432896246
1	295	38	330	22.60708288995765
38	330	1	295	22.60708288995765
1	60	39	10	89.14923996056491
39	10	1	60	89.14923996056491
1	80	40	25	41.92513103841611
40	25	1	80	41.92513103841611
1	250	41	210	33.51307334430309
41	210	1	250	33.51307334430309
1	50	42	20	68.36262883402718
42	20	1	50	68.36262883402718
1	20	43	340	69.77236121072477
43	340	1	20	69.77236121072477
1	70	44	115	17.10913767566064
44	115	1	70	17.10913767566064
1	235	45	130	70.44276248960341
45	130	1	235	70.44276248960341
1	20	46	35	18.91393558592539
46	35	1	20	18.91393558592539
1	20	47	135	19.197369584514632
47	135	1	20	19.197369584514632
1	225	48	325	102.07684514130649
48	325	1	225	102.07684514130649
1	220	49	290	26.524311336236853
49	290	1	220	26.524311336236853
1	350	50	165	11.461242242299017
50	165	1	350	11.461242242299017
1	45	51	285	29.803694169271335
51	285	1	45	29.803694169271335
1	225	52	205	93.4804466035318
52	205	1	225	93.4804466035318
1	50	53	125	172.99001017421222
53	125	1	50	172.99001017421222
1	105	54	130	105.81241731558971
54	130	1	105	105.81241731558971
1	20	55	5	22.85213235745178
55	5	1	20	22.85213235745178
1	50	56	325	100.33074886765691
56	325	1	50	100.33074886765691
1	40	57	120	28.09399228154627
57	120	1	40	28.09399228154627
1	290	58	325	30.65409988285339
58	325	1	290	30.65409988285339
1	75	59	120	28.604027366853224
59	120	1	75	28.604027366853224
1	220	60	325	107.48399062352988
60	325	1	220	107.48399062352988
1	50	61	100	100.30237922243394
61	100	1	50	100.30237922243394
1	255	62	0	31.994016727590477
62	0	1	255	31.994016727590477
1	220	63	185	28.19228716628331
63	185	1	220	28.19228716628331
1	45	64	330	103.64465724164054
64	330	1	45	103.64465724164054
1	80	65	250	19.51790377875348
65	250	1	80	19.51790377875348
1	55	66	165	99.04967664736522
66	165	1	55	99.04967664736522
1	85	67	95	28.05727315921394
67	95	1	85	28.05727315921394
1	265	68	200	24.477893172130017
68	200	1	265	24.477893172130017
1	95	69	325	36.15206299388935
69	325	1	95	36.15206299388935
1	55	70	135	197.59757983750697
70	135	1	55	197.59757983750697
1	210	71	115	94.4637431688686
71	115	1	210	94.4637431688686
1	40	72	105	95.72891891781906
72	105	1	40	95.72891891781906
1	50	73	150	125.6222136412213
73	150	1	50	125.6222136412213
1	240	74	270	110.70041735710635
74	270	1	240	110.70041735710635
1	225	75	130	124.16650884854477
75	130	1	225	124.16650884854477
1	60	76	130	115.1231008220584
76	130	1	60	115.1231008220584
1	260	77	60	100.53178575701769
77	60	1	260	100.53178575701769
1	95	78	300	23.702751548602407
78	300	1	95	23.702751548602407
1	220	79	335	60.41044352089169
